n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
Baum,Asia,Thailand,2,Y,,,219,8,0.03652968,219,0,0,New,,,Children&Adults,,dry,spanned end of dry and start of rainy,
Tadesse,East Africa,Ethiopia,2,Y,0,0,257,15,0.058365759,257,0,0,New,,,Children&Adults,,dry,,
,East Africa,Ethiopia,2,Y,0,0,298,14,0.046979866,298,0,0,New,,,Children&Adults,,,,
,East Africa,Ethiopia,2,Y,0,0,555,29,0.052252252,555,0,0,New,,,Children&Adults,,,,
Daou,West Africa,Mali,2,N,1,1,98,77,0.785714286,98,27,0.2755102,New,,,,,dry,beginning of high season,
,West Africa,Mali,2,N,1,1,94,41,0.436170213,99,20,0.2020202,New,,,,,rainy,midway through high season,
Amoah (15:388),West Africa,Ghana,2,N,1,1,170,85,0.5,170,49,0.28823529,New,0-15,5-15years,5-12years,,,,
,West Africa,Ghana,2,N,1,1,170,50,0.294117647,170,38,0.22352941,New,0-15,5-15years,5-12years,,,,
,West Africa,Ghana,2,N,1,1,170,65,0.382352941,170,44,0.25882353,New,0-15,5-15years,5-12years,,,,
,West Africa,Ghana,2,N,1,1,170,66,0.388235294,170,10,0.05882353,New,0-15,5-15years,5-12years,,,,
Amoah (15:101),West Africa,Ghana,2,N,0,1,291,205,0.704467354,291,120,0.41237113,New,0-18,5-18years,12-17years,,,,
,West Africa,Ghana,2,N,1,1,267,110,0.411985019,267,2,0.00749064,New,0-18,5-18years,12-17years,,,,
Dinko,West Africa,Ghana,2,N,1,1,270,207,0.766666667,270,165,0.61111111,New,0-18,5-18years,5-17years,,rainy,end or rainy into beg dry,
Fancony,West Africa,Angola,2,N,,,3307,525,0.158754158,3307,525,0.15875416,New,,,Children&Adults,,rainy,end or rainy into beg dry,
Li,Asia,Myanmar,2,N,,,638,4,0.006269592,638,3,0.004702194,New,,,,,,,
,Asia,Thailand,2,N,,,1070,17,0.01588785,1070,1,0.000934579,New,,,,,,,
Congpuong,Asia,Thailand,2,Y,,,475,4,0.008421053,475,0,0,New,,,Children&Adults,,,,
Lek,Asia,Cambodia,2,N,,,7707,340,0.044115739,7707,143,0.01855456,New,,,Children&Adults,,rainy,,
Cistero,East Africa,Mozambique,2,N,0,1,95,63,0.663157895,95,51,0.53684211,New,,,Children&Adults,,rainy,,
